114.27,3.08,laranja
115.11,4.11,laranja
116.06,3.12,laranja
114.02,2.57,laranja
116.05,2.52,laranja
115.45,4.22,laranja
124.61,2.80,laranja
124.84,3.61,laranja
114.35,3.71,laranja
119.05,5.02,laranja
111.68,4.65,laranja
117.98,2.99,laranja
118.89,3.02,laranja
115.09,4.50,laranja
125.25,2.95,laranja
115.03,4.04,laranja
115.94,2.73,laranja
122.95,4.46,laranja
124.42,5.44,laranja
120.56,4.55,laranja
120.94,5.16,laranja
116.30,3.19,laranja
123.53,3.81,laranja
112.92,4.05,laranja
124.75,3.17,laranja
97.63,6.63,maca
91.80,4.29,maca
104.87,6.63,maca
102.87,7.04,maca
90.25,6.85,maca
95.16,3.51,maca
102.77,7.74,maca
100.11,7.81,maca
103.55,5.71,maca
99.91,5.80,maca
91.65,3.80,maca
100.93,5.35,maca
93.12,5.49,maca
102.29,4.21,maca
92.35,6.76,maca
101.69,5.03,maca
101.77,6.24,maca
94.50,6.73,maca
102.20,5.72,maca
95.39,7.23,maca
101.65,4.10,maca
101.02,5.85,maca
93.51,3.70,maca
105.45,6.69,maca
91.61,7.18,maca
